ID,Type,M6_Raw,SemanticType,Status,Category,AuditNote,RuleID
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-a_p2588#OBJECT#1 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-a_p2588#OBJECT#3,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#OBJECT#1,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#OBJECT#2,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#OBJECT#3,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#OBJECT#4,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#OBJECT#5,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#OBJECT#6,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-1_dieu-27_khoan-3_diem-b_p2794#OBJECT#7,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-1_dieu-29_khoan-2_p7834#OBJECT#1 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-29_khoan-2_p7834#ACTION#1,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#3,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#4,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#5,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#6,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#7,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#8,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#9,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#2 --HAS_OBJECT--> doc_chuong-iii_muc-1_dieu-31_khoan-2_p9703#ACTION#10,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-a_p11392#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-2_dieu-33_khoan-1_diem-a_p11392#OBJECT#1,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-2_dieu-35_khoan-4_diem-b_p19014#SUBJECT#1 --HAS_OBJECT--> doc_chuong-iii_muc-2_dieu-35_khoan-4_diem-b_p19014#OBJECT#2,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-2_dieu-36_khoan-3_p20984#SUBJECT#1 --HAS_OBJECT--> doc_chuong-iii_muc-2_dieu-36_khoan-3_p20984#OBJECT#1,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-2_dieu-36_khoan-3_p20984#SUBJECT#2 --HAS_OBJECT--> doc_chuong-iii_muc-2_dieu-36_khoan-3_p20984#OBJECT#1,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-4_dieu-44_khoan-1_p34692#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-4_dieu-44_khoan-1_p34692#OBJECT#1,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-4_dieu-44_khoan-1_p34692#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-4_dieu-44_khoan-1_p34692#OBJECT#2,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-4_dieu-44_khoan-2_diem-a_p35046#SUBJECT#1 --ALLOW--> doc_chuong-iii_muc-4_dieu-44_khoan-2_diem-a_p35046#OBJECT#1,SemanticEdge,,ALLOW,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_ALLOW,REL_ALLOW
doc_chuong-iii_muc-4_dieu-44_khoan-3_p35912#SUBJECT#1 --PROHIBIT--> doc_chuong-iii_muc-4_dieu-44_khoan-3_p35912#OBJECT#1,SemanticEdge,,PROHIBIT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_PROHIBIT,REL_PROHIBIT
doc_chuong-iii_muc-4_dieu-44_khoan-3_diem-b_p36548#SUBJECT#1 --HAS_OBJECT--> doc_chuong-iii_muc-4_dieu-44_khoan-3_diem-b_p36548#OBJECT#1,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-4_dieu-44_khoan-5_p38031#ACTION#1 --HAS_OBJECT--> doc_chuong-iii_muc-4_dieu-44_khoan-5_p38031#ACTION#2,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-5_dieu-45_khoan-3_diem-c_p40594#SUBJECT#1 --HAS_OBJECT--> doc_chuong-iii_muc-5_dieu-45_khoan-3_diem-c_p40594#OBJECT#1,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-5_dieu-45_khoan-5_p41303#ACTION#3 --REQUIRE--> doc_chuong-iii_muc-5_dieu-45_khoan-5_p41303#OBJECT#1,SemanticEdge,,REQUIRE,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_REQUIRE,REL_REQUIRE
doc_chuong-iii_muc-5_dieu-46_khoan-4_p44769#CONDITION#1 --HAS_OBJECT--> doc_chuong-iii_muc-5_dieu-46_khoan-4_p44769#OBJECT#3,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
doc_chuong-iii_muc-5_dieu-46_khoan-4_p44769#CONDITION#1 --HAS_OBJECT--> doc_chuong-iii_muc-5_dieu-46_khoan-4_p44769#OBJECT#4,SemanticEdge,,HAS_OBJECT,QUARANTINED,DOMAIN_RANGE_VIOLATION,REL_HAS_OBJECT,REL_HAS_OBJECT
